cell_type	gene	avg_logfc	p_val_adj
rg	ANXA2	1.1706	1.40e-04
rg	CLU	0.9206	0.00e+00
rg	LAMP5	0.9079	0.00e+00
rg	HSPA5	0.8676	1.24e-03
rg	CD99	0.8539	1.77e-03
rg	HOPX	0.8028	3.44e-02
ipc	HIST1H4C	0.8325	0.00e+00
ipc	PLPPR3	0.5637	0.00e+00
ipc	C4orf48	0.4967	0.00e+00
ipc	CSRP2	0.4848	0.00e+00
ipc	RBP1	0.4763	0.00e+00
ipc	H2AFZ	0.4600	0.00e+00
neuron	KIAA0101	1.1430	0.00e+00
neuron	STK17A	1.1029	0.00e+00
neuron	DUT	1.0718	0.00e+00
neuron	NEUROG1	1.0656	0.00e+00
neuron	HMGB2	1.0165	0.00e+00
neuron	MDK	0.9979	0.00e+00
neuron	H2AFZ	0.9456	0.00e+00
neuron	PPP1R17	0.9410	0.00e+00
